,Class,Paths,Pixel
6,1,DATA/yes/Y104.jpg,"[[[147 147 147]
  [139 139 139]
  [154 154 154]
  ...
  [ 12  12  12]
  [ 12  12  12]
  [ 13  13  13]]

 [[  2   2   2]
  [ 14  14  14]
  [  7   7   7]
  ...
  [  9   9   9]
  [  5   5   5]
  [ 16  16  16]]

 [[  6   6   6]
  [ 16  16  16]
  [  0   0   0]
  ...
  [ 17  17  17]
  [  2   2   2]
  [ 18  18  18]]

 ...

 [[110 110 110]
  [107 107 107]
  [102 102 102]
  ...
  [ 15  15  15]
  [ 12  12  12]
  [ 18  18  18]]

 [[ 11  11  11]
  [  9   9   9]
  [ 20  20  20]
  ...
  [122 122 122]
  [134 134 134]
  [132 132 132]]

 [[133 133 133]
  [142 142 142]
  [150 150 150]
  ...
  [155 155 155]
  [163 163 163]
  [179 179 179]]]"
59,1,DATA/yes/Y192.JPG,"[[[237 238 240]
  [ 17  18  20]
  [  3   4   6]
  ...
  [  5   7   6]
  [  5   7   6]
  [  5   7   6]]

 [[  5   7   6]
  [  5   7   6]
  [  5   7   6]
  ...
  [  5   7   6]
  [  5   7   6]
  [  5   7   6]]

 [[  5   7   6]
  [  5   7   6]
  [  5   7   6]
  ...
  [  5   6   8]
  [  5   6   8]
  [  5   6   8]]

 ...

 [[ 75  75  75]
  [ 68  68  68]
  [ 59  59  59]
  ...
  [ 62  62  62]
  [ 51  51  51]
  [ 51  51  51]]

 [[ 56  56  56]
  [ 65  65  65]
  [ 70  70  70]
  ...
  [ 83  83  83]
  [ 95  95  95]
  [ 82  82  82]]

 [[ 87  87  87]
  [ 83  83  83]
  [ 75  75  75]
  ...
  [  6   6   6]
  [  5   5   5]
  [  3   3   3]]]"
184,0,DATA/no/37 no.jpg,"[[[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]]"
51,1,DATA/yes/Y182.JPG,"[[[231 231 231]
  [231 231 231]
  [231 231 231]
  ...
  [231 231 231]
  [231 231 231]
  [231 231 231]]

 [[231 231 231]
  [231 231 231]
  [231 231 231]
  ...
  [ 40  40  40]
  [ 40  40  40]
  [ 41  41  41]]

 [[ 41  41  41]
  [ 41  41  41]
  [ 41  41  41]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 66  66  66]
  [ 65  65  65]
  [ 63  63  63]
  ...
  [109 109 109]
  [117 117 117]
  [111 111 111]]

 [[107 107 107]
  [106 106 106]
  [107 107 107]
  ...
  [ 16  16  16]
  [ 19  19  19]
  [ 27  27  27]]

 [[ 45  45  45]
  [ 52  52  52]
  [ 50  50  50]
  ...
  [  4   4   4]
  [ 23  23  23]
  [ 45  45  45]]]"
128,1,DATA/yes/Y69.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 83  83  83]
  [ 87  87  87]
  [ 91  91  91]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [ 87  87  87]
  [ 92  92  92]
  [ 96  96  96]]

 [[109 109 109]
  [111 111 111]
  [112 112 112]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
15,1,DATA/yes/Y113.JPG,"[[[55 50 46]
  [55 50 46]
  [55 50 46]
  ...
  [58 56 59]
  [64 59 55]
  [64 59 55]]

 [[64 59 55]
  [64 59 55]
  [64 59 55]
  ...
  [67 62 58]
  [67 62 58]
  [67 62 58]]

 [[67 62 58]
  [67 62 58]
  [67 62 58]
  ...
  [66 61 57]
  [66 61 57]
  [66 61 57]]

 ...

 [[28 27 25]
  [28 27 25]
  [25 29 32]
  ...
  [29 28 26]
  [28 27 25]
  [28 27 25]]

 [[25 29 32]
  [25 29 32]
  [25 29 32]
  ...
  [27 25 26]
  [25 29 32]
  [25 29 32]]

 [[25 29 32]
  [25 29 32]
  [25 29 32]
  ...
  [25 29 32]
  [25 29 32]
  [25 29 32]]]"
28,1,DATA/yes/Y153.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  0   0   0]
  [  0   0   0]
  [  1   1   1]
  ...
  [148 148 148]
  [153 153 153]
  [158 158 158]]

 [[159 159 159]
  [158 158 158]
  [160 160 160]
  ...
  [140 140 140]
  [137 137 137]
  [129 129 129]]

 [[122 122 122]
  [119 119 119]
  [120 120 120]
  ...
  [143 143 143]
  [148 148 148]
  [147 147 147]]]"
31,1,DATA/yes/Y156.JPG,"[[[ 30  30  30]
  [ 14  14  14]
  [ 14  14  14]
  ...
  [ 14  14  14]
  [ 14  14  14]
  [ 16  16  16]]

 [[ 16  16  16]
  [ 16  16  16]
  [ 16  16  16]
  ...
  [  5   5   5]
  [  3   3   3]
  [  1   1   1]]

 [[  2   2   2]
  [  4   4   4]
  [  5   5   5]
  ...
  [  3   3   3]
  [  5   5   5]
  [  5   5   5]]

 ...

 [[104 104 104]
  [112 112 112]
  [113 113 113]
  ...
  [ 96  96  96]
  [ 90  90  90]
  [ 87  87  87]]

 [[ 92  92  92]
  [ 95  95  95]
  [ 99  99  99]
  ...
  [ 63  63  63]
  [ 60  60  60]
  [ 62  62  62]]

 [[ 67  67  67]
  [ 67  67  67]
  [ 72  72  72]
  ...
  [ 69  69  69]
  [ 77  77  77]
  [ 79  79  79]]]"
149,1,DATA/yes/Y92.png,"[[[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 ...

 [[0.34117648 0.3254902  0.37254903]
  [0.45882353 0.52156866 0.6       ]
  [0.6901961  0.7529412  0.78039217]
  ...
  [0.8235294  0.827451   0.8352941 ]
  [0.80784315 0.827451   0.827451  ]
  [0.8        0.78039217 0.7647059 ]]

 [[0.75686276 0.7254902  0.68235296]
  [0.6392157  0.5803922  0.52156866]
  [0.5137255  0.49803922 0.4862745 ]
  ...
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]

 [[0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  ...
  [0.24313726 0.27450982 0.30588236]
  [0.3529412  0.36862746 0.38039216]
  [0.4        0.40392157 0.36078432]]]"
117,1,DATA/yes/Y55.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 50  50  50]
  [ 52  52  52]
  [ 57  57  57]
  ...
  [  3   3   3]
  [  3   3   3]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [125 125 125]
  [136 136 136]
  [138 138 138]]

 [[147 147 147]
  [160 160 160]
  [179 179 179]
  ...
  [196 196 196]
  [198 198 198]
  [202 202 202]]]"
169,0,DATA/no/23 no.jpg,"[[[ 27  27  27]
  [ 27  27  27]
  [ 27  27  27]
  ...
  [ 28  28  28]
  [ 28  28  28]
  [ 28  28  28]]

 [[ 29  29  29]
  [ 29  29  29]
  [ 29  29  29]
  ...
  [ 73  73  73]
  [ 67  67  67]
  [ 66  66  66]]

 [[ 85  85  85]
  [ 88  88  88]
  [ 92  92  92]
  ...
  [ 28  28  28]
  [ 31  31  31]
  [ 33  33  33]]

 ...

 [[126 126 126]
  [126 126 126]
  [126 126 126]
  ...
  [233 233 233]
  [224 224 224]
  [214 214 214]]

 [[177 177 177]
  [147 147 147]
  [126 126 126]
  ...
  [135 135 135]
  [121 121 121]
  [115 115 115]]

 [[ 76  76  76]
  [ 61  61  61]
  [ 36  36  36]
  ...
  [216 216 216]
  [126 126 126]
  [ 53  53  53]]]"
12,1,DATA/yes/Y11.jpg,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  2   2   2]
  [  4   4   4]
  [  5   5   5]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 ...

 [[ 89  89  89]
  [ 98  98  98]
  [111 111 111]
  ...
  [ 33  33  33]
  [ 30  30  30]
  [ 27  27  27]]

 [[ 24  24  24]
  [ 23  23  23]
  [ 23  23  23]
  ...
  [161 161 161]
  [177 177 177]
  [188 188 188]]

 [[198 198 198]
  [200 200 200]
  [202 202 202]
  ...
  [ 99  99  99]
  [ 98  98  98]
  [ 97  97  97]]]"
136,1,DATA/yes/Y77.jpg,"[[[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 [[ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[59 59 59]
  [11 11 11]
  [ 9  9  9]
  ...
  [59 59 59]
  [59 59 59]
  [58 58 58]]

 [[59 59 59]
  [59 59 59]
  [59 59 59]
  ...
  [54 54 54]
  [54 54 54]
  [58 58 58]]

 [[59 59 59]
  [58 58 58]
  [60 60 60]
  ...
  [49 49 49]
  [55 55 55]
  [62 62 62]]]"
93,1,DATA/yes/Y30.jpg,"[[[1 1 1]
  [1 1 1]
  [1 1 1]
  ...
  [3 2 2]
  [2 2 2]
  [2 1 1]]

 [[3 3 3]
  [3 2 2]
  [1 1 0]
  ...
  [1 1 1]
  [1 1 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 ...

 [[8 5 0]
  [0 0 0]
  [7 0 0]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 1]
  ...
  [0 0 0]
  [0 0 0]
  [0 0 0]]

 [[0 0 0]
  [0 0 0]
  [0 0 0]
  ...
  [0 1 1]
  [1 2 2]
  [1 0 1]]]"
228,0,DATA/no/No21.jpg,"[[[11 11 11]
  [11 11 11]
  [11 11 12]
  ...
  [12 12 12]
  [12 12 12]
  [12 13 13]]

 [[13 13 13]
  [13 12 12]
  [12 12 13]
  ...
  [14 14 13]
  [13 14 14]
  [14 12 12]]

 [[13 13 13]
  [13 14 14]
  [14 13 13]
  ...
  [13 13 13]
  [13 13 13]
  [13 13 13]]

 ...

 [[13 13 13]
  [13 13 13]
  [13 13 13]
  ...
  [11 12 13]
  [13 13 13]
  [13 13 13]]

 [[13 12 11]
  [12 13 13]
  [13 13 13]
  ...
  [12 12 12]
  [12 12 12]
  [12 13 13]]

 [[13 13 13]
  [13 13 14]
  [12 12 12]
  ...
  [13 13 13]
  [13 13 13]
  [13 13 13]]]"
122,1,DATA/yes/Y60.jpg,"[[[ 20  20  20]
  [ 12  12  12]
  [  9   9   9]
  ...
  [  8   8   8]
  [  8   8   8]
  [  8   8   8]]

 [[  8   8   8]
  [  8   8   8]
  [  8   8   8]
  ...
  [  2   2   2]
  [  2   2   2]
  [  3   3   3]]

 [[  3   3   3]
  [  3   3   3]
  [  4   4   4]
  ...
  [  2   2   2]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[ 66  66  66]
  [ 75  75  75]
  [ 85  85  85]
  ...
  [  3   3   3]
  [  4   4   4]
  [  4   4   4]]

 [[  5   5   5]
  [  5   5   5]
  [  1   1   1]
  ...
  [ 70  70  70]
  [ 64  64  64]
  [ 66  66  66]]

 [[ 65  65  65]
  [ 64  64  64]
  [ 65  65  65]
  ...
  [108 108 108]
  [109 109 109]
  [105 105 105]]]"
145,1,DATA/yes/Y9.jpg,"[[[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  4   4   4]
  [  2   2   2]
  [  1   1   1]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 [[  0   0   0]
  [  0   0   0]
  [  0   0   0]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]

 ...

 [[  5   5   5]
  [  7   7   7]
  [  6   6   6]
  ...
  [  2   2   2]
  [  3   3   3]
  [  5   5   5]]

 [[  5   5   5]
  [  5   5   5]
  [  4   4   4]
  ...
  [162 162 162]
  [155 155 155]
  [139 139 139]]

 [[123 123 123]
  [115 115 115]
  [112 112 112]
  ...
  [  0   0   0]
  [  0   0   0]
  [  0   0   0]]]"
227,0,DATA/no/No20.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 ...

 [[47 47 47]
  [47 47 47]
  [49 49 49]
  ...
  [ 1  1  1]
  [ 2  2  2]
  [ 3  3  3]]

 [[ 4  4  4]
  [ 4  4  4]
  [ 4  4  4]
  ...
  [61 61 61]
  [54 54 54]
  [55 55 55]]

 [[61 61 61]
  [65 65 65]
  [62 62 62]
  ...
  [ 7  7  7]
  [ 8  8  8]
  [10 10 10]]]"
230,0,DATA/no/no 1.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 1  1  1]
  [ 1  1  1]
  [ 1  1  1]]

 ...

 [[ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 3  3  3]
  [ 3  3  3]
  [ 3  3  3]]

 [[ 3  3  3]
  [ 3  3  3]
  [ 2  2  2]
  ...
  [68 68 68]
  [69 69 69]
  [64 64 64]]]"
250,0,DATA/no/no 98.jpg,"[[[0.03137255 0.03921569 0.03921569]
  [1.         0.02352941 0.02352941]
  [0.02352941 1.         0.02352941]
  ...
  [1.         0.02352941 0.02352941]
  [0.02352941 1.         0.02352941]
  [0.02352941 0.02352941 1.        ]]

 [[0.02352941 0.02352941 0.02352941]
  [1.         0.02352941 0.02352941]
  [0.02352941 1.         0.02352941]
  ...
  [1.         0.02352941 0.02352941]
  [0.02352941 1.         0.02352941]
  [0.02352941 0.02352941 1.        ]]

 [[0.02352941 0.02352941 0.02352941]
  [1.         0.02352941 0.02352941]
  [0.02352941 1.         0.02352941]
  ...
  [1.         0.02352941 0.02352941]
  [0.02352941 1.         0.02352941]
  [0.02352941 0.02352941 1.        ]]

 ...

 [[0.         0.         0.        ]
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  ...
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  [0.         0.         1.        ]]

 [[0.         0.         0.        ]
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  ...
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  [0.         0.         1.        ]]

 [[0.         0.         0.        ]
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  ...
  [1.         0.         0.        ]
  [0.         1.         0.        ]
  [0.         0.         1.        ]]]"
176,0,DATA/no/3 no.jpg,"[[[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 8  9 14]
  [ 8  9 14]
  [ 8  9 14]]

 [[ 8  9 14]
  [ 8  9 14]
  [ 8  9 14]
  ...
  [ 8  9 14]
  [ 8  9 14]
  [ 8  9 14]]

 [[ 8  9 14]
  [ 8  9 14]
  [ 8  9 14]
  ...
  [ 6  7  9]
  [ 6  7  9]
  [ 5  6  8]]

 ...

 [[ 8  9 14]
  [ 8  9 14]
  [ 8  9 14]
  ...
  [ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]]

 [[ 0  0  0]
  [ 0  0  0]
  [ 0  0  0]
  ...
  [ 7  8 13]
  [ 8  9 14]
  [ 9 10 15]]

 [[10 11 16]
  [10 11 16]
  [15 16 18]
  ...
  [51 52 54]
  [46 47 49]
  [47 48 50]]]"
19,1,DATA/yes/Y117.JPG,"[[[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 [[  1   1   1]
  [  1   1   1]
  [  1   1   1]
  ...
  [  1   1   1]
  [  1   1   1]
  [  1   1   1]]

 ...

 [[  1   1   1]
  [  6   6   6]
  [  0   0   0]
  ...
  [ 13  13  13]
  [ 46  46  46]
  [ 80  80  80]]

 [[103 103 103]
  [112 112 112]
  [119 119 119]
  ...
  [128 128 128]
  [119 119 119]
  [113 113 113]]

 [[110 110 110]
  [112 112 112]
  [117 117 117]
  ...
  [108 108 108]
  [103 103 103]
  [ 97  97  97]]]"
