,Paths,Label
4635,DATA/train/VeryMildDemented/verymildDem561.jpg,3
4890,DATA/train/VeryMildDemented/verymildDem791.jpg,3
3013,DATA/train/NonDemented/nonDem761.jpg,1
3466,DATA/train/VeryMildDemented/verymildDem1120.jpg,3
5076,DATA/train/VeryMildDemented/verymildDem959.jpg,3
2205,DATA/train/NonDemented/nonDem2337.jpg,1
752,DATA/train/NonDemented/nonDem1029.jpg,1
3715,DATA/train/VeryMildDemented/verymildDem1345.jpg,3
4377,DATA/train/VeryMildDemented/verymildDem329.jpg,3
829,DATA/train/NonDemented/nonDem1099.jpg,1
3187,DATA/train/NonDemented/nonDem918.jpg,1
4295,DATA/train/VeryMildDemented/verymildDem255.jpg,3
3287,DATA/train/ModerateDemented/moderateDem18.jpg,2
1760,DATA/train/NonDemented/nonDem1937.jpg,1
2140,DATA/train/NonDemented/nonDem2279.jpg,1
4681,DATA/train/VeryMildDemented/verymildDem602.jpg,3
58,DATA/train/MildDemented/mildDem150.jpg,0
2823,DATA/train/NonDemented/nonDem590.jpg,1
546,DATA/train/MildDemented/mildDem590.jpg,0
2746,DATA/train/NonDemented/nonDem520.jpg,1
3235,DATA/train/NonDemented/nonDem961.jpg,1
1184,DATA/train/NonDemented/nonDem1418.jpg,1
1040,DATA/train/NonDemented/nonDem1289.jpg,1
4398,DATA/train/VeryMildDemented/verymildDem348.jpg,3
1598,DATA/train/NonDemented/nonDem1791.jpg,1
3975,DATA/train/VeryMildDemented/verymildDem158.jpg,3
230,DATA/train/MildDemented/mildDem305.jpg,0
4048,DATA/train/VeryMildDemented/verymildDem1645.jpg,3
4165,DATA/train/VeryMildDemented/verymildDem1750.jpg,3
1063,DATA/train/NonDemented/nonDem1309.jpg,1
1714,DATA/train/NonDemented/nonDem1896.jpg,1
2093,DATA/train/NonDemented/nonDem2236.jpg,1
430,DATA/train/MildDemented/mildDem486.jpg,0
247,DATA/train/MildDemented/mildDem320.jpg,0
4947,DATA/train/VeryMildDemented/verymildDem842.jpg,3
3233,DATA/train/NonDemented/nonDem96.jpg,1
3197,DATA/train/NonDemented/nonDem927.jpg,1
1870,DATA/train/NonDemented/nonDem2035.jpg,1
3048,DATA/train/NonDemented/nonDem793.jpg,1
4164,DATA/train/VeryMildDemented/verymildDem175.jpg,3
619,DATA/train/MildDemented/mildDem656.jpg,0
955,DATA/train/NonDemented/nonDem1211.jpg,1
1574,DATA/train/NonDemented/nonDem177.jpg,1
2007,DATA/train/NonDemented/nonDem2159.jpg,1
1038,DATA/train/NonDemented/nonDem1287.jpg,1
4135,DATA/train/VeryMildDemented/verymildDem1723.jpg,3
3414,DATA/train/VeryMildDemented/verymildDem1074.jpg,3
4547,DATA/train/VeryMildDemented/verymildDem482.jpg,3
104,DATA/train/MildDemented/mildDem192.jpg,0
3218,DATA/train/NonDemented/nonDem946.jpg,1
5083,DATA/train/VeryMildDemented/verymildDem965.jpg,3
1662,DATA/train/NonDemented/nonDem1849.jpg,1
2104,DATA/train/NonDemented/nonDem2246.jpg,1
3763,DATA/train/VeryMildDemented/verymildDem1389.jpg,3
3314,DATA/train/ModerateDemented/moderateDem42.jpg,2
2561,DATA/train/NonDemented/nonDem354.jpg,1
674,DATA/train/MildDemented/mildDem705.jpg,0
4434,DATA/train/VeryMildDemented/verymildDem380.jpg,3
3500,DATA/train/VeryMildDemented/verymildDem1151.jpg,3
101,DATA/train/MildDemented/mildDem19.jpg,0
4097,DATA/train/VeryMildDemented/verymildDem169.jpg,3
2967,DATA/train/NonDemented/nonDem72.jpg,1
966,DATA/train/NonDemented/nonDem1221.jpg,1
3893,DATA/train/VeryMildDemented/verymildDem1505.jpg,3
283,DATA/train/MildDemented/mildDem353.jpg,0
3660,DATA/train/VeryMildDemented/verymildDem1296.jpg,3
5006,DATA/train/VeryMildDemented/verymildDem896.jpg,3
4229,DATA/train/VeryMildDemented/verymildDem196.jpg,3
3501,DATA/train/VeryMildDemented/verymildDem1152.jpg,3
4396,DATA/train/VeryMildDemented/verymildDem346.jpg,3
2019,DATA/train/NonDemented/nonDem217.jpg,1
3424,DATA/train/VeryMildDemented/verymildDem1083.jpg,3
847,DATA/train/NonDemented/nonDem1114.jpg,1
695,DATA/train/MildDemented/mildDem8.jpg,0
2067,DATA/train/NonDemented/nonDem2212.jpg,1
2650,DATA/train/NonDemented/nonDem434.jpg,1
3792,DATA/train/VeryMildDemented/verymildDem1414.jpg,3
2958,DATA/train/NonDemented/nonDem711.jpg,1
2909,DATA/train/NonDemented/nonDem668.jpg,1
4502,DATA/train/VeryMildDemented/verymildDem441.jpg,3
3868,DATA/train/VeryMildDemented/verymildDem1483.jpg,3
1252,DATA/train/NonDemented/nonDem148.jpg,1
2532,DATA/train/NonDemented/nonDem328.jpg,1
3718,DATA/train/VeryMildDemented/verymildDem1348.jpg,3
1513,DATA/train/NonDemented/nonDem1714.jpg,1
4570,DATA/train/VeryMildDemented/verymildDem502.jpg,3
273,DATA/train/MildDemented/mildDem344.jpg,0
2834,DATA/train/NonDemented/nonDem60.jpg,1
3042,DATA/train/NonDemented/nonDem788.jpg,1
3519,DATA/train/VeryMildDemented/verymildDem1169.jpg,3
1912,DATA/train/NonDemented/nonDem2073.jpg,1
3827,DATA/train/VeryMildDemented/verymildDem1446.jpg,3
4224,DATA/train/VeryMildDemented/verymildDem191.jpg,3
3174,DATA/train/NonDemented/nonDem906.jpg,1
1701,DATA/train/NonDemented/nonDem1884.jpg,1
4881,DATA/train/VeryMildDemented/verymildDem783.jpg,3
1963,DATA/train/NonDemented/nonDem2119.jpg,1
1939,DATA/train/NonDemented/nonDem2098.jpg,1
2214,DATA/train/NonDemented/nonDem2345.jpg,1
333,DATA/train/MildDemented/mildDem399.jpg,0
105,DATA/train/MildDemented/mildDem193.jpg,0
444,DATA/train/MildDemented/mildDem499.jpg,0
2402,DATA/train/NonDemented/nonDem2514.jpg,1
1069,DATA/train/NonDemented/nonDem1314.jpg,1
4226,DATA/train/VeryMildDemented/verymildDem193.jpg,3
1180,DATA/train/NonDemented/nonDem1414.jpg,1
1257,DATA/train/NonDemented/nonDem1484.jpg,1
1821,DATA/train/NonDemented/nonDem1992.jpg,1
2890,DATA/train/NonDemented/nonDem650.jpg,1
2752,DATA/train/NonDemented/nonDem526.jpg,1
1836,DATA/train/NonDemented/nonDem2004.jpg,1
2804,DATA/train/NonDemented/nonDem573.jpg,1
747,DATA/train/NonDemented/nonDem1024.jpg,1
1517,DATA/train/NonDemented/nonDem1718.jpg,1
916,DATA/train/NonDemented/nonDem1177.jpg,1
4480,DATA/train/VeryMildDemented/verymildDem421.jpg,3
1469,DATA/train/NonDemented/nonDem1675.jpg,1
3910,DATA/train/VeryMildDemented/verymildDem1520.jpg,3
611,DATA/train/MildDemented/mildDem649.jpg,0
3166,DATA/train/NonDemented/nonDem9.jpg,1
2040,DATA/train/NonDemented/nonDem2189.jpg,1
517,DATA/train/MildDemented/mildDem564.jpg,0
500,DATA/train/MildDemented/mildDem549.jpg,0
1159,DATA/train/NonDemented/nonDem1396.jpg,1
2066,DATA/train/NonDemented/nonDem2211.jpg,1
3858,DATA/train/VeryMildDemented/verymildDem1474.jpg,3
3739,DATA/train/VeryMildDemented/verymildDem1367.jpg,3
1726,DATA/train/NonDemented/nonDem1906.jpg,1
4471,DATA/train/VeryMildDemented/verymildDem413.jpg,3
1436,DATA/train/NonDemented/nonDem1645.jpg,1
3732,DATA/train/VeryMildDemented/verymildDem1360.jpg,3
4026,DATA/train/VeryMildDemented/verymildDem1625.jpg,3
4234,DATA/train/VeryMildDemented/verymildDem20.jpg,3
102,DATA/train/MildDemented/mildDem190.jpg,0
3779,DATA/train/VeryMildDemented/verymildDem1402.jpg,3
3956,DATA/train/VeryMildDemented/verymildDem1562.jpg,3
4705,DATA/train/VeryMildDemented/verymildDem624.jpg,3
786,DATA/train/NonDemented/nonDem106.jpg,1
2239,DATA/train/NonDemented/nonDem2368.jpg,1
3870,DATA/train/VeryMildDemented/verymildDem1485.jpg,3
1263,DATA/train/NonDemented/nonDem149.jpg,1
4021,DATA/train/VeryMildDemented/verymildDem1620.jpg,3
1306,DATA/train/NonDemented/nonDem1528.jpg,1
2501,DATA/train/NonDemented/nonDem30.jpg,1
942,DATA/train/NonDemented/nonDem120.jpg,1
3464,DATA/train/VeryMildDemented/verymildDem1119.jpg,3
4391,DATA/train/VeryMildDemented/verymildDem341.jpg,3
3494,DATA/train/VeryMildDemented/verymildDem1146.jpg,3
4122,DATA/train/VeryMildDemented/verymildDem1711.jpg,3
3670,DATA/train/VeryMildDemented/verymildDem1304.jpg,3
1035,DATA/train/NonDemented/nonDem1284.jpg,1
453,DATA/train/MildDemented/mildDem506.jpg,0
5080,DATA/train/VeryMildDemented/verymildDem962.jpg,3
1171,DATA/train/NonDemented/nonDem1406.jpg,1
3630,DATA/train/VeryMildDemented/verymildDem1269.jpg,3
1655,DATA/train/NonDemented/nonDem1842.jpg,1
4873,DATA/train/VeryMildDemented/verymildDem776.jpg,3
941,DATA/train/NonDemented/nonDem12.jpg,1
929,DATA/train/NonDemented/nonDem1189.jpg,1
4901,DATA/train/VeryMildDemented/verymildDem800.jpg,3
1460,DATA/train/NonDemented/nonDem1667.jpg,1
3676,DATA/train/VeryMildDemented/verymildDem131.jpg,3
4511,DATA/train/VeryMildDemented/verymildDem45.jpg,3
3925,DATA/train/VeryMildDemented/verymildDem1534.jpg,3
3657,DATA/train/VeryMildDemented/verymildDem1293.jpg,3
3321,DATA/train/ModerateDemented/moderateDem49.jpg,2
637,DATA/train/MildDemented/mildDem672.jpg,0
5096,DATA/train/VeryMildDemented/verymildDem977.jpg,3
2564,DATA/train/NonDemented/nonDem357.jpg,1
2467,DATA/train/NonDemented/nonDem27.jpg,1
4169,DATA/train/VeryMildDemented/verymildDem1754.jpg,3
4816,DATA/train/VeryMildDemented/verymildDem724.jpg,3
2208,DATA/train/NonDemented/nonDem234.jpg,1
1307,DATA/train/NonDemented/nonDem1529.jpg,1
1719,DATA/train/NonDemented/nonDem190.jpg,1
3141,DATA/train/NonDemented/nonDem877.jpg,1
610,DATA/train/MildDemented/mildDem648.jpg,0
2006,DATA/train/NonDemented/nonDem2158.jpg,1
4162,DATA/train/VeryMildDemented/verymildDem1748.jpg,3
216,DATA/train/MildDemented/mildDem293.jpg,0
4300,DATA/train/VeryMildDemented/verymildDem26.jpg,3
1139,DATA/train/NonDemented/nonDem1378.jpg,1
1228,DATA/train/NonDemented/nonDem1458.jpg,1
4155,DATA/train/VeryMildDemented/verymildDem1741.jpg,3
2421,DATA/train/NonDemented/nonDem2531.jpg,1
1867,DATA/train/NonDemented/nonDem2032.jpg,1
2151,DATA/train/NonDemented/nonDem2289.jpg,1
3520,DATA/train/VeryMildDemented/verymildDem117.jpg,3
2428,DATA/train/NonDemented/nonDem2538.jpg,1
3049,DATA/train/NonDemented/nonDem794.jpg,1
335,DATA/train/MildDemented/mildDem40.jpg,0
2342,DATA/train/NonDemented/nonDem2460.jpg,1
1110,DATA/train/NonDemented/nonDem1351.jpg,1
2665,DATA/train/NonDemented/nonDem448.jpg,1
4451,DATA/train/VeryMildDemented/verymildDem396.jpg,3
532,DATA/train/MildDemented/mildDem578.jpg,0
2115,DATA/train/NonDemented/nonDem2256.jpg,1
1074,DATA/train/NonDemented/nonDem1319.jpg,1
1904,DATA/train/NonDemented/nonDem2066.jpg,1
1923,DATA/train/NonDemented/nonDem2083.jpg,1
5103,DATA/train/VeryMildDemented/verymildDem983.jpg,3
6,DATA/train/MildDemented/mildDem103.jpg,0
2141,DATA/train/NonDemented/nonDem228.jpg,1
5007,DATA/train/VeryMildDemented/verymildDem897.jpg,3
1267,DATA/train/NonDemented/nonDem1493.jpg,1
4893,DATA/train/VeryMildDemented/verymildDem794.jpg,3
386,DATA/train/MildDemented/mildDem446.jpg,0
3673,DATA/train/VeryMildDemented/verymildDem1307.jpg,3
4882,DATA/train/VeryMildDemented/verymildDem784.jpg,3
2015,DATA/train/NonDemented/nonDem2166.jpg,1
4979,DATA/train/VeryMildDemented/verymildDem871.jpg,3
2560,DATA/train/NonDemented/nonDem353.jpg,1
117,DATA/train/MildDemented/mildDem203.jpg,0
704,DATA/train/MildDemented/mildDem88.jpg,0
1341,DATA/train/NonDemented/nonDem156.jpg,1
3329,DATA/train/VeryMildDemented/verymildDem0.jpg,3
2045,DATA/train/NonDemented/nonDem2193.jpg,1
3581,DATA/train/VeryMildDemented/verymildDem1224.jpg,3
2798,DATA/train/NonDemented/nonDem568.jpg,1
4283,DATA/train/VeryMildDemented/verymildDem244.jpg,3
2676,DATA/train/NonDemented/nonDem458.jpg,1
3576,DATA/train/VeryMildDemented/verymildDem122.jpg,3
1219,DATA/train/NonDemented/nonDem145.jpg,1
3247,DATA/train/NonDemented/nonDem972.jpg,1
1235,DATA/train/NonDemented/nonDem1464.jpg,1
2049,DATA/train/NonDemented/nonDem2197.jpg,1
3427,DATA/train/VeryMildDemented/verymildDem1086.jpg,3
1322,DATA/train/NonDemented/nonDem1542.jpg,1
445,DATA/train/MildDemented/mildDem5.jpg,0
3703,DATA/train/VeryMildDemented/verymildDem1334.jpg,3
3127,DATA/train/NonDemented/nonDem864.jpg,1
806,DATA/train/NonDemented/nonDem1078.jpg,1
3160,DATA/train/NonDemented/nonDem894.jpg,1
4173,DATA/train/VeryMildDemented/verymildDem1758.jpg,3
399,DATA/train/MildDemented/mildDem458.jpg,0
4007,DATA/train/VeryMildDemented/verymildDem1608.jpg,3
3364,DATA/train/VeryMildDemented/verymildDem1029.jpg,3
2368,DATA/train/NonDemented/nonDem2484.jpg,1
1604,DATA/train/NonDemented/nonDem1797.jpg,1
473,DATA/train/MildDemented/mildDem524.jpg,0
2836,DATA/train/NonDemented/nonDem601.jpg,1
2053,DATA/train/NonDemented/nonDem220.jpg,1
3366,DATA/train/VeryMildDemented/verymildDem1030.jpg,3
1990,DATA/train/NonDemented/nonDem2143.jpg,1
1419,DATA/train/NonDemented/nonDem163.jpg,1
4063,DATA/train/VeryMildDemented/verymildDem1659.jpg,3
816,DATA/train/NonDemented/nonDem1087.jpg,1
1646,DATA/train/NonDemented/nonDem1834.jpg,1
3674,DATA/train/VeryMildDemented/verymildDem1308.jpg,3
4388,DATA/train/VeryMildDemented/verymildDem339.jpg,3
5009,DATA/train/VeryMildDemented/verymildDem899.jpg,3
4037,DATA/train/VeryMildDemented/verymildDem1635.jpg,3
2817,DATA/train/NonDemented/nonDem585.jpg,1
1008,DATA/train/NonDemented/nonDem126.jpg,1
2907,DATA/train/NonDemented/nonDem666.jpg,1
3835,DATA/train/VeryMildDemented/verymildDem1453.jpg,3
4253,DATA/train/VeryMildDemented/verymildDem217.jpg,3
3952,DATA/train/VeryMildDemented/verymildDem1559.jpg,3
2712,DATA/train/NonDemented/nonDem490.jpg,1
4737,DATA/train/VeryMildDemented/verymildDem653.jpg,3
3617,DATA/train/VeryMildDemented/verymildDem1257.jpg,3
4913,DATA/train/VeryMildDemented/verymildDem811.jpg,3
2727,DATA/train/NonDemented/nonDem503.jpg,1
1544,DATA/train/NonDemented/nonDem1742.jpg,1
1958,DATA/train/NonDemented/nonDem2114.jpg,1
511,DATA/train/MildDemented/mildDem559.jpg,0
4143,DATA/train/VeryMildDemented/verymildDem1730.jpg,3
2409,DATA/train/NonDemented/nonDem2520.jpg,1
1172,DATA/train/NonDemented/nonDem1407.jpg,1
2703,DATA/train/NonDemented/nonDem482.jpg,1
2438,DATA/train/NonDemented/nonDem2547.jpg,1
796,DATA/train/NonDemented/nonDem1069.jpg,1
297,DATA/train/MildDemented/mildDem366.jpg,0
4925,DATA/train/VeryMildDemented/verymildDem822.jpg,3
4542,DATA/train/VeryMildDemented/verymildDem478.jpg,3
2035,DATA/train/NonDemented/nonDem2184.jpg,1
0,DATA/train/MildDemented/mildDem0.jpg,0
3555,DATA/train/VeryMildDemented/verymildDem1200.jpg,3
4553,DATA/train/VeryMildDemented/verymildDem488.jpg,3
2072,DATA/train/NonDemented/nonDem2217.jpg,1
602,DATA/train/MildDemented/mildDem640.jpg,0
576,DATA/train/MildDemented/mildDem617.jpg,0
400,DATA/train/MildDemented/mildDem459.jpg,0
3022,DATA/train/NonDemented/nonDem77.jpg,1
3675,DATA/train/VeryMildDemented/verymildDem1309.jpg,3
3736,DATA/train/VeryMildDemented/verymildDem1364.jpg,3
3506,DATA/train/VeryMildDemented/verymildDem1157.jpg,3
1644,DATA/train/NonDemented/nonDem1832.jpg,1
981,DATA/train/NonDemented/nonDem1235.jpg,1
1362,DATA/train/NonDemented/nonDem1579.jpg,1
2318,DATA/train/NonDemented/nonDem2439.jpg,1
1634,DATA/train/NonDemented/nonDem1823.jpg,1
3884,DATA/train/VeryMildDemented/verymildDem1498.jpg,3
2509,DATA/train/NonDemented/nonDem307.jpg,1
4133,DATA/train/VeryMildDemented/verymildDem1721.jpg,3
2091,DATA/train/NonDemented/nonDem2234.jpg,1
3672,DATA/train/VeryMildDemented/verymildDem1306.jpg,3
730,DATA/train/NonDemented/nonDem1009.jpg,1
2938,DATA/train/NonDemented/nonDem694.jpg,1
2797,DATA/train/NonDemented/nonDem567.jpg,1
76,DATA/train/MildDemented/mildDem167.jpg,0
3807,DATA/train/VeryMildDemented/verymildDem1428.jpg,3
1030,DATA/train/NonDemented/nonDem128.jpg,1
590,DATA/train/MildDemented/mildDem63.jpg,0
2044,DATA/train/NonDemented/nonDem2192.jpg,1
497,DATA/train/MildDemented/mildDem546.jpg,0
1930,DATA/train/NonDemented/nonDem209.jpg,1
1179,DATA/train/NonDemented/nonDem1413.jpg,1
1397,DATA/train/NonDemented/nonDem161.jpg,1
4735,DATA/train/VeryMildDemented/verymildDem651.jpg,3
2230,DATA/train/NonDemented/nonDem236.jpg,1
3833,DATA/train/VeryMildDemented/verymildDem1451.jpg,3
1854,DATA/train/NonDemented/nonDem2020.jpg,1
3627,DATA/train/VeryMildDemented/verymildDem1266.jpg,3
4919,DATA/train/VeryMildDemented/verymildDem817.jpg,3
1090,DATA/train/NonDemented/nonDem1333.jpg,1
3191,DATA/train/NonDemented/nonDem921.jpg,1
4493,DATA/train/VeryMildDemented/verymildDem433.jpg,3
4773,DATA/train/VeryMildDemented/verymildDem686.jpg,3
4592,DATA/train/VeryMildDemented/verymildDem522.jpg,3
1157,DATA/train/NonDemented/nonDem1394.jpg,1
996,DATA/train/NonDemented/nonDem1249.jpg,1
957,DATA/train/NonDemented/nonDem1213.jpg,1
3740,DATA/train/VeryMildDemented/verymildDem1368.jpg,3
1156,DATA/train/NonDemented/nonDem1393.jpg,1
143,DATA/train/MildDemented/mildDem227.jpg,0
439,DATA/train/MildDemented/mildDem494.jpg,0
3998,DATA/train/VeryMildDemented/verymildDem160.jpg,3
1473,DATA/train/NonDemented/nonDem1679.jpg,1
160,DATA/train/MildDemented/mildDem242.jpg,0
2539,DATA/train/NonDemented/nonDem334.jpg,1
4672,DATA/train/VeryMildDemented/verymildDem595.jpg,3
2180,DATA/train/NonDemented/nonDem2314.jpg,1
1521,DATA/train/NonDemented/nonDem1721.jpg,1
1813,DATA/train/NonDemented/nonDem1985.jpg,1
3066,DATA/train/NonDemented/nonDem809.jpg,1
4917,DATA/train/VeryMildDemented/verymildDem815.jpg,3
3972,DATA/train/VeryMildDemented/verymildDem1577.jpg,3
4000,DATA/train/VeryMildDemented/verymildDem1601.jpg,3
2102,DATA/train/NonDemented/nonDem2244.jpg,1
1825,DATA/train/NonDemented/nonDem1996.jpg,1
3229,DATA/train/NonDemented/nonDem956.jpg,1
2054,DATA/train/NonDemented/nonDem2200.jpg,1
1782,DATA/train/NonDemented/nonDem1957.jpg,1
2041,DATA/train/NonDemented/nonDem219.jpg,1
3830,DATA/train/VeryMildDemented/verymildDem1449.jpg,3
4526,DATA/train/VeryMildDemented/verymildDem463.jpg,3
376,DATA/train/MildDemented/mildDem437.jpg,0
3190,DATA/train/NonDemented/nonDem920.jpg,1
190,DATA/train/MildDemented/mildDem27.jpg,0
2291,DATA/train/NonDemented/nonDem2414.jpg,1
199,DATA/train/MildDemented/mildDem278.jpg,0
4153,DATA/train/VeryMildDemented/verymildDem174.jpg,3
4861,DATA/train/VeryMildDemented/verymildDem765.jpg,3
420,DATA/train/MildDemented/mildDem477.jpg,0
153,DATA/train/MildDemented/mildDem236.jpg,0
2952,DATA/train/NonDemented/nonDem706.jpg,1
872,DATA/train/NonDemented/nonDem1137.jpg,1
5049,DATA/train/VeryMildDemented/verymildDem934.jpg,3
2611,DATA/train/NonDemented/nonDem4.jpg,1
109,DATA/train/MildDemented/mildDem197.jpg,0
2013,DATA/train/NonDemented/nonDem2164.jpg,1
3486,DATA/train/VeryMildDemented/verymildDem1139.jpg,3
4015,DATA/train/VeryMildDemented/verymildDem1615.jpg,3
2781,DATA/train/NonDemented/nonDem552.jpg,1
1935,DATA/train/NonDemented/nonDem2094.jpg,1
1656,DATA/train/NonDemented/nonDem1843.jpg,1
3417,DATA/train/VeryMildDemented/verymildDem1077.jpg,3
4975,DATA/train/VeryMildDemented/verymildDem868.jpg,3
1745,DATA/train/NonDemented/nonDem1923.jpg,1
3279,DATA/train/ModerateDemented/moderateDem10.jpg,2
4059,DATA/train/VeryMildDemented/verymildDem1655.jpg,3
594,DATA/train/MildDemented/mildDem633.jpg,0
150,DATA/train/MildDemented/mildDem233.jpg,0
4192,DATA/train/VeryMildDemented/verymildDem1775.jpg,3
4753,DATA/train/VeryMildDemented/verymildDem668.jpg,3
4146,DATA/train/VeryMildDemented/verymildDem1733.jpg,3
4501,DATA/train/VeryMildDemented/verymildDem440.jpg,3
1518,DATA/train/NonDemented/nonDem1719.jpg,1
1011,DATA/train/NonDemented/nonDem1262.jpg,1
3401,DATA/train/VeryMildDemented/verymildDem1062.jpg,3
4106,DATA/train/VeryMildDemented/verymildDem1698.jpg,3
922,DATA/train/NonDemented/nonDem1182.jpg,1
906,DATA/train/NonDemented/nonDem1168.jpg,1
971,DATA/train/NonDemented/nonDem1226.jpg,1
3982,DATA/train/VeryMildDemented/verymildDem1586.jpg,3
1668,DATA/train/NonDemented/nonDem1854.jpg,1
2714,DATA/train/NonDemented/nonDem492.jpg,1
4397,DATA/train/VeryMildDemented/verymildDem347.jpg,3
1986,DATA/train/NonDemented/nonDem214.jpg,1
1343,DATA/train/NonDemented/nonDem1561.jpg,1
3490,DATA/train/VeryMildDemented/verymildDem1142.jpg,3
4922,DATA/train/VeryMildDemented/verymildDem82.jpg,3
820,DATA/train/NonDemented/nonDem1090.jpg,1
4420,DATA/train/VeryMildDemented/verymildDem368.jpg,3
653,DATA/train/MildDemented/mildDem687.jpg,0
208,DATA/train/MildDemented/mildDem286.jpg,0
866,DATA/train/NonDemented/nonDem1131.jpg,1
4758,DATA/train/VeryMildDemented/verymildDem672.jpg,3
1461,DATA/train/NonDemented/nonDem1668.jpg,1
3642,DATA/train/VeryMildDemented/verymildDem128.jpg,3
1266,DATA/train/NonDemented/nonDem1492.jpg,1
2512,DATA/train/NonDemented/nonDem31.jpg,1
4577,DATA/train/VeryMildDemented/verymildDem509.jpg,3
4404,DATA/train/VeryMildDemented/verymildDem353.jpg,3
3881,DATA/train/VeryMildDemented/verymildDem1495.jpg,3
4896,DATA/train/VeryMildDemented/verymildDem797.jpg,3
2931,DATA/train/NonDemented/nonDem688.jpg,1
2631,DATA/train/NonDemented/nonDem417.jpg,1
4837,DATA/train/VeryMildDemented/verymildDem743.jpg,3
1053,DATA/train/NonDemented/nonDem130.jpg,1
4888,DATA/train/VeryMildDemented/verymildDem79.jpg,3
4353,DATA/train/VeryMildDemented/verymildDem307.jpg,3
4040,DATA/train/VeryMildDemented/verymildDem1638.jpg,3
